GDP_Period,Year,Quarter,Series_Code,Sector,Amount_ZAR_Millions
2025 Q4,2025,Q4,QNU1000,GDP at market prices,2003972.31
2025 Q4,2025,Q4,QNU1001,"Agriculture, forestry and fishing",24596.43
2025 Q4,2025,Q4,QNU1002,Mining and quarrying,148504.54
2025 Q4,2025,Q4,QNU1003,Manufacturing,245655.74
2025 Q4,2025,Q4,QNU1004,"Electricity, gas and water",62136.09
2025 Q4,2025,Q4,QNU1005,Construction,38482.98
2025 Q4,2025,Q4,QNU1006,"Trade, catering and accommodation",258091.30
2025 Q4,2025,Q4,QNU1007,"Transport, storage and communication",148452.16
2025 Q4,2025,Q4,QNU1008,"Finance, real estate and business services",432889.28
2025 Q4,2025,Q4,QNU1009,General government services,155271.65
2025 Q4,2025,Q4,QNU1010,Personal services,287276.12
2025 Q3,2025,Q3,QNU1000,GDP at market prices,1938470.51
2025 Q3,2025,Q3,QNU1001,"Agriculture, forestry and fishing",53379.97
2025 Q3,2025,Q3,QNU1002,Mining and quarrying,127466.55
2025 Q3,2025,Q3,QNU1003,Manufacturing,244667.88
2025 Q3,2025,Q3,QNU1004,"Electricity, gas and water",74299.50
2025 Q3,2025,Q3,QNU1005,Construction,37384.98
2025 Q3,2025,Q3,QNU1006,"Trade, catering and accommodation",240263.20
2025 Q3,2025,Q3,QNU1007,"Transport, storage and communication",138294.16
2025 Q3,2025,Q3,QNU1008,"Finance, real estate and business services",409841.28
2025 Q3,2025,Q3,QNU1009,General government services,151015.85
2025 Q3,2025,Q3,QNU1010,Personal services,274465.13
2025 Q2,2025,Q2,QNU1000,GDP at market prices,1900275.07
2025 Q2,2025,Q2,QNU1001,"Agriculture, forestry and fishing",84090.56
2025 Q2,2025,Q2,QNU1002,Mining and quarrying,106625.55
2025 Q2,2025,Q2,QNU1003,Manufacturing,231246.20
2025 Q2,2025,Q2,QNU1004,"Electricity, gas and water",76415.68
2025 Q2,2025,Q2,QNU1005,Construction,41012.98
2025 Q2,2025,Q2,QNU1006,"Trade, catering and accommodation",236690.57
2025 Q2,2025,Q2,QNU1007,"Transport, storage and communication",134774.16
2025 Q2,2025,Q2,QNU1008,"Finance, real estate and business services",386966.28
2025 Q2,2025,Q2,QNU1009,General government services,146901.95
2025 Q2,2025,Q2,QNU1010,Personal services,275797.13
2025 Q1,2025,Q1,QNU1000,GDP at market prices,1799075.30
2025 Q1,2025,Q1,QNU1001,"Agriculture, forestry and fishing",54014.89
2025 Q1,2025,Q1,QNU1002,Mining and quarrying,94465.84
2025 Q1,2025,Q1,QNU1003,Manufacturing,214894.55
2025 Q1,2025,Q1,QNU1004,"Electricity, gas and water",59640.66
2025 Q1,2025,Q1,QNU1005,Construction,38008.98
2025 Q1,2025,Q1,QNU1006,"Trade, catering and accommodation",229558.20
2025 Q1,2025,Q1,QNU1007,"Transport, storage and communication",120571.38
2025 Q1,2025,Q1,QNU1008,"Finance, real estate and business services",381028.28
2025 Q1,2025,Q1,QNU1009,General government services,145428.39
2025 Q1,2025,Q1,QNU1010,Personal services,265789.13
2024 Q4,2024,Q4,QNU1000,GDP at market prices,1900170.50
2024 Q4,2024,Q4,QNU1001,"Agriculture, forestry and fishing",26606.70
2024 Q4,2024,Q4,QNU1002,Mining and quarrying,124403.29
2024 Q4,2024,Q4,QNU1003,Manufacturing,245879.44
