Financial_Year,Municipality,Province,Item_Label,Item_Category,Value_ZAR,Municipality_Type
2019,Buffalo City,Eastern Cape,Agency Services,Expenditure - Operating,220971772,Metro
2019,Buffalo City,Eastern Cape,Asset Financing Reserve (Afr),Reserve - Asset,0,Metro
2019,Buffalo City,Eastern Cape,Bulk Purchases,Expenditure - Operating,12091925877,Metro
2019,Buffalo City,Eastern Cape,Change To Unappropriated Surplus / (Accumulated Deficit),Summary - Surplus/Deficit,4167957893,Metro
2019,Buffalo City,Eastern Cape,Collection Costs,Expenditure - Operating,0,Metro
2019,Buffalo City,Eastern Cape,Contracted Services,Expenditure - Operating,5031211378,Metro
2019,Buffalo City,Eastern Cape,Contributed Assets,Revenue - Other,279066643,Metro
2019,Buffalo City,Eastern Cape,Contributions To/(From) Provisions,Expenditure - Operating,0,Metro
2019,Buffalo City,Eastern Cape,Cross Subsidisation,Expenditure - Internal,0,Metro
2019,Buffalo City,Eastern Cape,Debt Impairment,Expenditure - Operating,2476971896,Metro
2019,Buffalo City,Eastern Cape,Depreciation and Asset Impairment,Expenditure - Operating,7796345905,Metro
2019,Buffalo City,Eastern Cape,Depreciation Reserve Ex Afr,Reserve - Asset,0,Metro
2019,Buffalo City,Eastern Cape,Depreciation Reserve Ex Donations And Contributions,Reserve - Asset,0,Metro
2019,Buffalo City,Eastern Cape,Depreciation Reserve Ex Govt Grants,Reserve - Asset,0,Metro
2019,Buffalo City,Eastern Cape,Dividends Paid (Municipal Entities Only),Expenditure - Finance Charges,0,Metro
2019,Buffalo City,Eastern Cape,Dividends Received,Revenue - Financial,0,Metro
2019,Buffalo City,Eastern Cape,Dividends Received - Internal (From Municipal Entities),Revenue - Financial,0,Metro
2019,Buffalo City,Eastern Cape,Employee Related Costs - Social Contributions,Expenditure - Employee Costs,2425397982,Metro
2019,Buffalo City,Eastern Cape,Employee Related Costs - Wages & Salaries,Expenditure - Employee Costs,11960983479,Metro
2019,Buffalo City,Eastern Cape,Fines,Revenue - Other,134219589,Metro
2019,Buffalo City,Eastern Cape,"Gain On Disposal Of Property, Plant & Equipment",Revenue - Other,3038113,Metro
2019,Buffalo City,Eastern Cape,Grants and Subsidies,Expenditure - Transfers,425767589,Metro
2019,Buffalo City,Eastern Cape,Housing Development Fund,Reserve - Fund,0,Metro
2019,Buffalo City,Eastern Cape,Interest - Internal Borrowings,Expenditure - Finance Charges,0,Metro
2019,Buffalo City,Eastern Cape,Interest Earned - External Investments,Revenue - Financial,887010186,Metro
2019,Buffalo City,Eastern Cape,Interest Earned - Outstanding Debtors,Revenue - Financial,387716782,Metro
2019,Buffalo City,Eastern Cape,Interest Expense - External Borrowings,Expenditure - Finance Charges,440754179,Metro
2019,Buffalo City,Eastern Cape,Interest Received - Internal Loans,Revenue - Financial,0,Metro
2019,Buffalo City,Eastern Cape,Internal Charges (Activity Based Costing Etc),Expenditure - Internal,0,Metro
2019,Buffalo City,Eastern Cape,Internal Recoveries (Activity Based Costing Etc),Expenditure - Internal,0,Metro
2019,Buffalo City,Eastern Cape,INTERNAL TRANSFERS - (must net out with corresp. items under,Expenditure - Internal,0,Metro
2019,Buffalo City,Eastern Cape,INTERNAL TRANSFERS – (must net out with corresp. items under,Other,0,Metro
2019,Buffalo City,Eastern Cape,Less Employee Costs Allocated To Other Operating Items,Expenditure - Employee Costs,0,Metro
2019,Buffalo City,Eastern Cape,Less Employee Costs Capitalised,Expenditure - Employee Costs,0,Metro
2019,Buffalo City,Eastern Cape,Less Revenue Foregone,Revenue - Other,1097655007,Metro
2019,Buffalo City,Eastern Cape,Licenses and Permits,Revenue - Other,106435551,Metro
2019,Buffalo City,Eastern Cape,"Loss On Disposal Of Property, Plant & Equipment",Expenditure - Operating,91972737,Metro
2019,Buffalo City,Eastern Cape,OPERATING EXPENDITURE,Summary - Expenditure,0,Metro
2019,Buffalo City,Eastern Cape,OPERATING REVENUE,Summary - Revenue,0,Metro
2019,Buffalo City,Eastern Cape,Operating Surplus / (Deficit) - After Tax,Summary - Surplus/Deficit,4167957893,Metro
2019,Buffalo City,Eastern Cape,Operating Surplus / (Deficit) - Total Revenue Less Total Exp,Summary - Surplus/Deficit,4169420984,Metro
2019,Buffalo City,Eastern Cape,Other,Expenditure - Operating,0,Metro
2019,Buffalo City,Eastern Cape,OTHER ADJUSTMENTS AND TRANSFERS,Other,0,Metro
2019,Buffalo City,Eastern Cape,Other Expenditure,Expenditure - Operating,4332274726,Metro
2019,Buffalo City,Eastern Cape,Other Materials,Expenditure - Operating,609003230,Metro
2019,Buffalo City,Eastern Cape,Other Revenue,Revenue - Other,2121237443,Metro
2019,Buffalo City,Eastern Cape,Plus Interests In Entities Not Wholly Owned,Other,0,Metro
2019,Buffalo City,Eastern Cape,Property Rates,Revenue - Property Rates,11049432587,Metro
2019,Buffalo City,Eastern Cape,Property Rates - Penalties And Collection Charges,Revenue - Property Rates,0,Metro
2019,Buffalo City,Eastern Cape,Redemption Payments - External Borrowings (Gamap To Remove),Capital - Financing,0,Metro
2019,Buffalo City,Eastern Cape,Remuneration Of Councillors,Expenditure - Employee Costs,460970462,Metro
2019,Buffalo City,Eastern Cape,Rent Of Facilities And Equipment,Revenue - Other,136384942,Metro
2019,Buffalo City,Eastern Cape,Revaluation Reserve,Reserve - Asset,0,Metro
2019,Buffalo City,Eastern Cape,Self-Insurance Reserve,Reserve - Fund,0,Metro
2019,Buffalo City,Eastern Cape,Service Charges,Revenue - Service Charges,21907881351,Metro
2019,Buffalo City,Eastern Cape,SURPLUS,Summary - Surplus/Deficit,0,Metro
2019,Buffalo City,Eastern Cape,"Surplus / (Deficit) After Tax, Cross Subsidies & Share Of As",Summary - Surplus/Deficit,4167957893,Metro
2019,Buffalo City,Eastern Cape,Taxation,Expenditure - Operating,1463091,Metro
2019,Buffalo City,Eastern Cape,Total Direct Operating Expenditure,Summary - Expenditure,48143579440,Metro
2019,Buffalo City,Eastern Cape,Total Direct Operating Revenue,Summary - Revenue,52592067067,Metro
2019,Buffalo City,Eastern Cape,Total Indirect Operating Expenditure,Summary - Expenditure,279066643,Metro
2019,Buffalo City,Eastern Cape,Total Indirect Operating Revenue,Summary - Revenue,0,Metro
2019,Buffalo City,Eastern Cape,Total Operating Expenditure,Summary - Expenditure,48422646083,Metro
