Date,Station_Or_Type,Metric,Value,Unit,Source_File
AllTimeMaximum,CSP,Annual_Annual_Energy_MWh,1514428,MWh,Renewables_Statistics
AllTimeMaximum,PV,Annual_Annual_Energy_MWh,5285154,MWh,Renewables_Statistics
AllTimeMaximum,Wind(Eskom+IPP),Annual_Annual_Energy_MWh,11627271,MWh,Renewables_Statistics
AllTimeMaximum,Total RE,Annual_Annual_Energy_MWh,18712184,MWh,Renewables_Statistics
AllTime,CSP,Max_Contribution_MW,580,MW,Renewables_Statistics
AllTime,PV,Max_Contribution_MW,2475,MW,Renewables_Statistics
AllTime,Wind(Eskom+IPP),Max_Contribution_MW,3397,MW,Renewables_Statistics
AllTime,Total RE,Max_Contribution_MW,5830,MW,Renewables_Statistics
AllTime,All_RE,Max_Peak_Difference_MW,2617,MW,Renewables_Statistics
2026-27,CSP,Annual_Total_Energy_MWh,141918,MWh,Renewables_Statistics
2026-27,PV,Annual_Total_Energy_MWh,557787,MWh,Renewables_Statistics
2026-27,Wind(Eskom+IPP),Annual_Total_Energy_MWh,1554735,MWh,Renewables_Statistics
2026-27,Total RE,Annual_Total_Energy_MWh,2301885,MWh,Renewables_Statistics
2026-27,Total RE,Max_Contribution_MW,5078,MW,Renewables_Statistics
2026-27,CSP,Max_Contribution_MW,550,MW,Renewables_Statistics
2026-27,Wind(Eskom+IPP),Max_Contribution_MW,3374,MW,Renewables_Statistics
2026-27,PV,Max_Contribution_MW,2077,MW,Renewables_Statistics
2026-27,All_RE,Max_Peak_Difference_MW,1827,MW,Renewables_Statistics
2026-05-24,CSP,Installed_Capacity_MW,600,MW,Renewables_Statistics
2026-05-24,PV,Installed_Capacity_MW,2780,MW,Renewables_Statistics
2026-05-24,Total (Incl other REs),Installed_Capacity_MW,7573,MW,Renewables_Statistics
2026-05-24,Wind (Eskom+IPP),Installed_Capacity_MW,4143,MW,Renewables_Statistics
2026-05-24,National,International_MW,1141,MW,Station_Build_Up
