Year,Topic,Geography,Category,Value,Unit
2025,Sanitation,South Africa,Bucket toilet,155090,count
2025,Sanitation,South Africa,Chemical toilet,233238,count
2025,Sanitation,South Africa,Flush toilet connected to public sewerage,12466049,count
2025,Sanitation,South Africa,Flush toilet connected to septic tank,1061494,count
2025,Sanitation,South Africa,None,154921,count
2025,Sanitation,South Africa,Other,53236,count
2025,Sanitation,South Africa,Pit latrine with ventilation pipe,3369818,count
2025,Sanitation,South Africa,Pit latrine without ventilation pipe,2619861,count
2025,Water_Source,South Africa,Borehole on site,522,thousands
2025,Water_Source,South Africa,Borehole on site,2.6,%
2025,Water_Source,South Africa,Borehole outside yard,215,thousands
2025,Water_Source,South Africa,Borehole outside yard,1.1,%
2025,Water_Source,South Africa,Flowing water/stream/river,278,thousands
2025,Water_Source,South Africa,Flowing water/stream/river,1.4,%
2025,Water_Source,South Africa,Municipal Water-carrier/tanker,310,thousands
2025,Water_Source,South Africa,Municipal Water-carrier/tanker,1.5,%
2025,Water_Source,South Africa,Neighbours tap,495,thousands
2025,Water_Source,South Africa,Neighbours tap,2.5,%
2025,Water_Source,South Africa,Other,101,thousands
2025,Water_Source,South Africa,Other,0.5,%
2025,Water_Source,South Africa,Piped (tap) water in dwelling,9069,thousands
2025,Water_Source,South Africa,Piped (tap) water in dwelling,45.1,%
2025,Water_Source,South Africa,Piped (tap) water on site or in yard,6284,thousands
2025,Water_Source,South Africa,Piped (tap) water on site or in yard,31.2,%
2025,Water_Source,South Africa,Public or communal tap,1732,thousands
2025,Water_Source,South Africa,Public or communal tap,8.6,%
2025,Water_Source,South Africa,Rain-water tank on site,480,thousands
2025,Water_Source,South Africa,Rain-water tank on site,2.4,%
2025,Water_Source,South Africa,Spring,93,thousands
2025,Water_Source,South Africa,Spring,0.5,%
2025,Water_Source,South Africa,Stagnant water/dam/pool,28,thousands
2025,Water_Source,South Africa,Stagnant water/dam/pool,0.1,%
2025,Water_Source,South Africa,Water vendor,433,thousands
2025,Water_Source,South Africa,Water vendor,2.2,%
2025,Water_Source,South Africa,Well,75,thousands
2025,Water_Source,South Africa,Well,0.4,%
